Shweta Agrawal,Indian Institute of Technology,India
Florian Kerschbaum,SAP,Germany
Dmitry Khovratovich,University of Luxembourg,Luxembourg
Taesoo Kim,Georgia Tech,USA
Engin Kirda,Northeastern University,USA
Markulf Kohlweiss,Microsoft Research,UK
Vladimir Kolesnikov,Bell Labs,USA
Ralf Kuesters,University of Trier,Germany
Ranjit Kumaresan,MIT,USA
Andrea Lanzi,University of Milan,Italy
Peeter Laud,Cybernetica AS,Estonia
Wenke Lee,Georgia Institute of Technology,USA
Anja Lehmann,IBM Research – Zurich,Switzerland
Zhou Li,RSA Labs,UK
Zhenkai Liang,National University of Singapore,Singapore
Benoît Libert,ENS de Lyon,France
Zhiqiang Lin,University of Texas at Dallas,USA
Yao Liu,University of South Florida,USA
Benjamin Livshits,Microsoft Research,USA
Long Lu,Stony Brook University,USA
Matteo Maffei,Saarland University,Germany
Tal Malkin,Columbia University,USA
Mohammad Mannan,Concordia University,Canada
Sarah Meiklejohn,University College London,UK
Prateek Mittal,Princeton University,USA
Ian Molloy,IBM Research,USA
Steven Murdoch,University College London,UK
Arvind Narayanan,Princeton University,USA
Nick Nikiforakis,Stony Brook University,USA
Hamed Okhravi,MIT Lincoln Laboratory,USA
Claudio Orlandi,Aarhus University,Denmark
Xinming Ou,University of South Florida,USA
Charalampos Papamanthou,University of Maryland,USA
Bryan Parno,Microsoft Research,USA
Mathias Payer,Purdue University,USA
Roberto Perdisci,University of Georgia,USA
Adrian Perrig,ETH Zurich,Switzerland
Marco Pistoia,IBM T. J. Watson Research Center,USA
Michalis Polychronakis,Stony Brook University,USA
Raluca Ada Popa,UC Berkeley,USA
Christina Pöpper,New York University Abu Dhabi,UAE
Emmanuel Prouff,ANSSI,France
Zhiyun Qian,University of California,USA
Kui Ren,State University of New York at Buffalo,USA
Konrad Rieck,Technische Universität Braunschweig,Germany
Will Robertson,Northeastern University,USA
Alejandro Russo,Chalmers University of Technology,Sweden
Andrei Sabelfeld,Chalmers University of Technology,Sweden
Ahmad-Reza Sadeghi,Technische Universität Darmstadt,Germany
Nitesh Saxena,University of Alabama at Birmingham,USA
Jörg Schwenk,Ruhr University Bochum,Germany
Abhi Shelat,University of Virginia,USA
Elaine Shi,Cornell,USA
Tom Shrimpton,University of Florida,USA
Kapil Singh,IBM Research,USA
Sooel Son,Google,USA
Douglas Stebila,McMaster University,Canada
Gianluca Stringhini,University College London,UK
Thorsten Strufe,TU Dresden,Germany
Ed Suh,Cornell University,USA
Kun Sun,College of William and Mary,USA
Jakub Szefer,Yale University,USA
Gang Tan,Pennsylvania State University,USA
Stefano Tessaro,University of California,USA
Mohit Tiwari,UT Austin,USA
Nikos Triandopoulos,Boston University,USA
Mahesh Tripunitara,University of Waterloo,Canada
XiaoFeng Wang,Indiana University,USA
Zhi Wang,Florida State University,USA
Hoeteck Wee,ENS,France
Edgar Weippl,SBA Research,Austria
Wenyuan Xu,University of South Carolina & Zhejiang University,USA/China
Dongyan Xu,Purdue University,USA
Danfeng Yao,Virginia Tech,USA
Ting Yu,Qatar Computing Research Institute,Qatar
David Zage,Intel corporation,USA
Yanchao Zhang,Arizona State University,USA
Kehuan Zhang,The Chinese University of Hong Kong,Hong Kong
Yinqian Zhang,The Ohio State University,USA
Xiangyu Zhang,Purdue University,USA
Sheng Zhong,Nanjing University,China
Haojin Zhu,Shanghai Jiao Tong University,China
