paper,title,topic
12,DPavatar: Differentially Private Location Protection for Incumbent Users in Cognitive Radio Networks,Privacy-preserving systems
13,On Detecting Malware in a Virtualized Infrastructure without Introspection,Cloud security
13,On Detecting Malware in a Virtualized Infrastructure without Introspection,Machine learning
13,On Detecting Malware in a Virtualized Infrastructure without Introspection,Malware
15,Power-line Whisperer : Deniable Communication on Power-line Networks,Anonymity
15,Power-line Whisperer : Deniable Communication on Power-line Networks,Privacy-preserving systems
17,Manufacturing Resilient Bi-Opaque Predicates against Symbolic Execution,Software security
18,A Survey on DNS Reflection Amplification Attacks and Defending Mechanisms,Network security
20,Uncovering Cryptographical Misuse in iOS Applications,Mobile security and privacy
20,Uncovering Cryptographical Misuse in iOS Applications,Software security
21,"Finding Clues for Your Secrets: Large-Scale, Semantics-Driven Leakage Analysis of Mobile Apps",Mobile security and privacy
21,"Finding Clues for Your Secrets: Large-Scale, Semantics-Driven Leakage Analysis of Mobile Apps",Privacy policies
22,Enhanced Security in Applications with Homomorphic Encryption,Cloud security
22,Enhanced Security in Applications with Homomorphic Encryption,Mobile security and privacy
22,Enhanced Security in Applications with Homomorphic Encryption,Secure and verifiable computation
23,Poisoning the Event-Driven Architecture: A Full-Stack Look at Node.js and Friends,Cloud security
23,Poisoning the Event-Driven Architecture: A Full-Stack Look at Node.js and Friends,Cyber-physical systems (including IoT) security
23,Poisoning the Event-Driven Architecture: A Full-Stack Look at Node.js and Friends,Distributed systems security
23,Poisoning the Event-Driven Architecture: A Full-Stack Look at Node.js and Friends,Software security
23,Poisoning the Event-Driven Architecture: A Full-Stack Look at Node.js and Friends,Web security and privacy
24,An Approach to analyze behaviour of network events in NS2 & NS3 using AWK & Xgraph,Information flow
24,An Approach to analyze behaviour of network events in NS2 & NS3 using AWK & Xgraph,Protocols
25,FuturesMEX: Secure Distributed Futures Market Exchange,Anonymity
25,FuturesMEX: Secure Distributed Futures Market Exchange,Applied cryptography
25,FuturesMEX: Secure Distributed Futures Market Exchange,Distributed systems security
25,FuturesMEX: Secure Distributed Futures Market Exchange,Privacy-preserving systems
25,FuturesMEX: Secure Distributed Futures Market Exchange,Protocols
25,FuturesMEX: Secure Distributed Futures Market Exchange,Secure and verifiable computation
26,You Don't Know Jack About Intel MPX: A Cross-layer Dissection of the MPX System Stack,Hardware and architecture security
26,You Don't Know Jack About Intel MPX: A Cross-layer Dissection of the MPX System Stack,Software security
27,Detecting Remote Access Attacks via Mental Chronometry,Cloud security
27,Detecting Remote Access Attacks via Mental Chronometry,Malware
27,Detecting Remote Access Attacks via Mental Chronometry,Web security and privacy
29,Deemon: Detecting CSRF with Dynamic Analysis and Property Graphs,Software security
29,Deemon: Detecting CSRF with Dynamic Analysis and Property Graphs,Web security and privacy
31,Multi-Level Taint Propagation Analysis and Optimization for Dynamic Taint Tracking,Information flow
31,Multi-Level Taint Propagation Analysis and Optimization for Dynamic Taint Tracking,Mobile security and privacy
32,Measuring Information Leakage in Website Fingerprinting Attacks,Anonymity
32,Measuring Information Leakage in Website Fingerprinting Attacks,Network security
32,Measuring Information Leakage in Website Fingerprinting Attacks,Web security and privacy
33,Economic Factors of Vulnerability Trade and Exploitation. Empirical evidence from a prominent Russian cybercrime market.,Metrics
33,Economic Factors of Vulnerability Trade and Exploitation. Empirical evidence from a prominent Russian cybercrime market.,Software security
34,A Case for Secure Stored Communication in IoT,Cyber-physical systems (including IoT) security
34,A Case for Secure Stored Communication in IoT,Distributed systems security
34,A Case for Secure Stored Communication in IoT,Information flow
34,A Case for Secure Stored Communication in IoT,Network security
34,A Case for Secure Stored Communication in IoT,Protocols
34,A Case for Secure Stored Communication in IoT,Secure and verifiable computation
36,CLEF: Limiting the Damage Caused by Large Flows in the Internet Core,Network security
37,About the Security of Automated Process Control Systems,Cyber-physical systems (including IoT) security
37,About the Security of Automated Process Control Systems,Hardware and architecture security
37,About the Security of Automated Process Control Systems,Network security
37,About the Security of Automated Process Control Systems,Software security
38,Optimal Sabotage Attack on Composite Material Parts,Cyber-physical systems (including IoT) security
39,Identity-Based Provable Data Possession for Multi-Owner Data in Identity-Based Provable Data Possession for Multi-Owner Data in Public Cloud,Authentication and authorization
39,Identity-Based Provable Data Possession for Multi-Owner Data in Identity-Based Provable Data Possession for Multi-Owner Data in Public Cloud,Cloud security
40,A Humble Theory and Application for Logic Encryption,Hardware and architecture security
41,LightSM: a Lightweight Cryptographic Security Module Based on Trusted Execution Environment,Applied cryptography
41,LightSM: a Lightweight Cryptographic Security Module Based on Trusted Execution Environment,Cloud security
41,LightSM: a Lightweight Cryptographic Security Module Based on Trusted Execution Environment,Software security
42,My Smartphone Recognizes Genuine QR Codes! Practical Unclonable QR Code via 3D Printing,Cyber-physical systems (including IoT) security
44,Statistical Disclosure Control via Information Theory,Privacy-preserving systems
44,Statistical Disclosure Control via Information Theory,Privacy policies
46,Computation on Encrypted Data using Data Flow Authentication,Applied cryptography
46,Computation on Encrypted Data using Data Flow Authentication,Cloud security
46,Computation on Encrypted Data using Data Flow Authentication,Distributed systems security
46,Computation on Encrypted Data using Data Flow Authentication,Hardware and architecture security
46,Computation on Encrypted Data using Data Flow Authentication,Information flow
46,Computation on Encrypted Data using Data Flow Authentication,Language-based security
46,Computation on Encrypted Data using Data Flow Authentication,Privacy-preserving systems
48,A Touch of Evil: High-Assurance Cryptographic Hardware from Untrusted Components,Applied cryptography
48,A Touch of Evil: High-Assurance Cryptographic Hardware from Untrusted Components,Hardware and architecture security
48,A Touch of Evil: High-Assurance Cryptographic Hardware from Untrusted Components,Secure and verifiable computation
49,Your code is my code: Exploiting a common weakness in OAuth 2.0 implementations,Authentication and authorization
49,Your code is my code: Exploiting a common weakness in OAuth 2.0 implementations,Protocols
49,Your code is my code: Exploiting a common weakness in OAuth 2.0 implementations,Web security and privacy
51,Crypt-DAC: Cryptographically Enforced Dynamic Access Control in the Cloud,Access control
52,Hearing Your Voice Is Not Enough: An Articulatory Gesture Based Liveness Detection for Voice Authentication,Authentication and authorization
52,Hearing Your Voice Is Not Enough: An Articulatory Gesture Based Liveness Detection for Voice Authentication,Cyber-physical systems (including IoT) security
52,Hearing Your Voice Is Not Enough: An Articulatory Gesture Based Liveness Detection for Voice Authentication,Mobile security and privacy
53,HARD: Hardware-Assisted Randomization of Data,Hardware and architecture security
53,HARD: Hardware-Assisted Randomization of Data,Software security
54,Faulds: A Non-Parametric Iterative Classifier for Internet-Wide OS Fingerprinting,Network security
55,Virtual Switches: Compromising Cloud Systems via the Data Plane,Cloud security
55,Virtual Switches: Compromising Cloud Systems via the Data Plane,Distributed systems security
55,Virtual Switches: Compromising Cloud Systems via the Data Plane,Network security
56,Carousel: Stealthy and Adaptive Acoustic Attacks on MEMS Gyroscopes In Smartphones and Beyond,Cyber-physical systems (including IoT) security
56,Carousel: Stealthy and Adaptive Acoustic Attacks on MEMS Gyroscopes In Smartphones and Beyond,Hardware and architecture security
56,Carousel: Stealthy and Adaptive Acoustic Attacks on MEMS Gyroscopes In Smartphones and Beyond,Mobile security and privacy
57,A Practical Approach to Detect Fraudulent Behavior Using Web Access Log and Recurrent Neural Network,Machine learning
57,A Practical Approach to Detect Fraudulent Behavior Using Web Access Log and Recurrent Neural Network,Web security and privacy
58,Invetter: Locating insecure validations in Android Services,Access control
58,Invetter: Locating insecure validations in Android Services,Mobile security and privacy
59,Adaptively Secure and Fast Processing of Nearest Neighbor Queries over Encrypted Data,Cloud security
59,Adaptively Secure and Fast Processing of Nearest Neighbor Queries over Encrypted Data,Privacy-preserving systems
62,VibWrite: Towards Finger-input Authentication on Ubiquitous Surfaces via Physical Vibration,Authentication and authorization
64,Efficient Control Flow Integrity Enforcement with Register-based Control Data Cloaking,Language-based security
64,Efficient Control Flow Integrity Enforcement with Register-based Control Data Cloaking,Software security
65,Killing the password and preserving privacy with device-centric and attribute-based authentication,Access control
65,Killing the password and preserving privacy with device-centric and attribute-based authentication,Anonymity
65,Killing the password and preserving privacy with device-centric and attribute-based authentication,Authentication and authorization
65,Killing the password and preserving privacy with device-centric and attribute-based authentication,Privacy-preserving systems
66,Byte Granularity Heap Randomization Under Intel Architecture Environment,Software security
67,Look Before You LTE: New Vulnerabilities in LTE Networks,Network security
67,Look Before You LTE: New Vulnerabilities in LTE Networks,Protocols
68,Short Double- and n-Times-Authentication-Preventing Signatures from ECDSA and More,Applied cryptography
68,Short Double- and n-Times-Authentication-Preventing Signatures from ECDSA and More,Authentication and authorization
69,Differentially Private Heavy Hitter Identification,Privacy-preserving systems
70,GUI Control Flow Integrity for Detecting Malicious Software,Access control
70,GUI Control Flow Integrity for Detecting Malicious Software,Information flow
70,GUI Control Flow Integrity for Detecting Malicious Software,Software security
71,Cross-App Request Forgery: On the Security of App Permissions in Secure SDN Controllers,Network security
73,Exploiting Physical Dynamics to Detect Actuator and Sensor Attacks in Mobile Robots,Cyber-physical systems (including IoT) security
73,Exploiting Physical Dynamics to Detect Actuator and Sensor Attacks in Mobile Robots,Intrusion detection
74,Concurrency Logic Bomb: Hiding Malicious Code within Thread Interleavings,Language-based security
74,Concurrency Logic Bomb: Hiding Malicious Code within Thread Interleavings,Malware
74,Concurrency Logic Bomb: Hiding Malicious Code within Thread Interleavings,Software security
76,On the Economics of Offline Password Cracking,Authentication and authorization
76,On the Economics of Offline Password Cracking,Metrics
76,On the Economics of Offline Password Cracking,Web security and privacy
78,A Fundamental Differential Privacy Approach for Deep Learning,Machine learning
78,A Fundamental Differential Privacy Approach for Deep Learning,Privacy-preserving systems
79,SAFEM: Spectral Analysis for Finding Execution of Malware on IoT Devices,Cyber-physical systems (including IoT) security
79,SAFEM: Spectral Analysis for Finding Execution of Malware on IoT Devices,Hardware and architecture security
80,TFence: Securing TEE by Retrofitting the Partially Privileged Mode on ARM,Mobile security and privacy
80,TFence: Securing TEE by Retrofitting the Partially Privileged Mode on ARM,Software security
81,UniTraX: Protecting data privacy with discoverable biases,Information flow
81,UniTraX: Protecting data privacy with discoverable biases,Language-based security
81,UniTraX: Protecting data privacy with discoverable biases,Privacy-preserving systems
84,Toward an Evidence-based Design for Reactive Security Policies and Mechanisms,Software security
86,The Last Mile for ML: Early and Robust Malware Detection in Enterprise Networks,Intrusion detection
86,The Last Mile for ML: Early and Robust Malware Detection in Enterprise Networks,Machine learning
87,A Query System for Efficient Attack Investigations Using System Monitoring Data,Forensics
89,Secure and Decentralized file transfer application using Blockchain,Access control
89,Secure and Decentralized file transfer application using Blockchain,Anonymity
89,Secure and Decentralized file transfer application using Blockchain,Applied cryptography
89,Secure and Decentralized file transfer application using Blockchain,Authentication and authorization
89,Secure and Decentralized file transfer application using Blockchain,Cloud security
89,Secure and Decentralized file transfer application using Blockchain,Distributed systems security
89,Secure and Decentralized file transfer application using Blockchain,Information flow
89,Secure and Decentralized file transfer application using Blockchain,Language-based security
89,Secure and Decentralized file transfer application using Blockchain,Network security
89,Secure and Decentralized file transfer application using Blockchain,Secure and verifiable computation
89,Secure and Decentralized file transfer application using Blockchain,Software security
89,Secure and Decentralized file transfer application using Blockchain,Web security and privacy
90,"A Distributed Access Control Model Based On Agents for Multi-Organizational, Collaborative and Heterogeneous Systems",Access control
90,"A Distributed Access Control Model Based On Agents for Multi-Organizational, Collaborative and Heterogeneous Systems",Distributed systems security
90,"A Distributed Access Control Model Based On Agents for Multi-Organizational, Collaborative and Heterogeneous Systems",Hardware and architecture security
90,"A Distributed Access Control Model Based On Agents for Multi-Organizational, Collaborative and Heterogeneous Systems",Privacy policies
90,"A Distributed Access Control Model Based On Agents for Multi-Organizational, Collaborative and Heterogeneous Systems",Web security and privacy
91,INSPIRED: Intention-based Privacy-preserving Permission Model,Mobile security and privacy
92,Decentralized Action Integrity for Trigger-Action Platforms,Authentication and authorization
92,Decentralized Action Integrity for Trigger-Action Platforms,Cloud security
92,Decentralized Action Integrity for Trigger-Action Platforms,Cyber-physical systems (including IoT) security
93,Secure Keyword Search on Trusted Hardware,Applied cryptography
93,Secure Keyword Search on Trusted Hardware,Cloud security
93,Secure Keyword Search on Trusted Hardware,Hardware and architecture security
93,Secure Keyword Search on Trusted Hardware,Privacy-preserving systems
93,Secure Keyword Search on Trusted Hardware,Secure and verifiable computation
94,Steganographic Communication via Spread Optical Noise: A Link-level Eavesdropping Resilient System,Anonymity
94,Steganographic Communication via Spread Optical Noise: A Link-level Eavesdropping Resilient System,Censorship-resistance
94,Steganographic Communication via Spread Optical Noise: A Link-level Eavesdropping Resilient System,Privacy-preserving systems
95,Towards Fine-grained Network Forensics and Diagnosis in the SDN Era,Distributed systems security
95,Towards Fine-grained Network Forensics and Diagnosis in the SDN Era,Forensics
95,Towards Fine-grained Network Forensics and Diagnosis in the SDN Era,Information flow
95,Towards Fine-grained Network Forensics and Diagnosis in the SDN Era,Network security
95,Towards Fine-grained Network Forensics and Diagnosis in the SDN Era,Software security
96,Approximate Constrained Shortest Distance Queries over Cloud-Based Encrypted Graphs with Hierarchical Labeling Index,Privacy-preserving systems
97,Inception Guard: Defenses Against Targeted Poisoning Attacks On Machine Learning Systems,Machine learning
97,Inception Guard: Defenses Against Targeted Poisoning Attacks On Machine Learning Systems,Malware
97,Inception Guard: Defenses Against Targeted Poisoning Attacks On Machine Learning Systems,Network security
98,Defending Against Key Exfiltration: Efficiency Improvements for BIG-Key Cryptography via Large-Alphabet Subkey Prediction,Applied cryptography
98,Defending Against Key Exfiltration: Efficiency Improvements for BIG-Key Cryptography via Large-Alphabet Subkey Prediction,Authentication and authorization
101,Most Websites Don‰Ûªt Need to Vibrate: A Cost‰ÛÒBenefit Approach to Improving Browser Security,Network security
101,Most Websites Don‰Ûªt Need to Vibrate: A Cost‰ÛÒBenefit Approach to Improving Browser Security,Software security
101,Most Websites Don‰Ûªt Need to Vibrate: A Cost‰ÛÒBenefit Approach to Improving Browser Security,Web security and privacy
102,Practical and Automatic Verification of Information Release with Declassification,Information flow
102,Practical and Automatic Verification of Information Release with Declassification,Secure and verifiable computation
103,Talek: Private Group Messaging with Indistinguishable Access Patterns,Privacy-preserving systems
104,Scaling ORAM for Secure Computation,Applied cryptography
104,Scaling ORAM for Secure Computation,Privacy-preserving systems
104,Scaling ORAM for Secure Computation,Protocols
104,Scaling ORAM for Secure Computation,Secure and verifiable computation
105,A Framework for Secure Integrations of Identity Services,Authentication and authorization
105,A Framework for Secure Integrations of Identity Services,Language-based security
105,A Framework for Secure Integrations of Identity Services,Software security
105,A Framework for Secure Integrations of Identity Services,Web security and privacy
106,Pre-Patch: Hidden Threat in Open Source Software,Software security
108,From Behavior Similarity to Symptom Similarity: Using Community Detection for Early Discovery of Software Vulnerability Exploits,Machine learning
108,From Behavior Similarity to Symptom Similarity: Using Community Detection for Early Discovery of Software Vulnerability Exploits,Malware
108,From Behavior Similarity to Symptom Similarity: Using Community Detection for Early Discovery of Software Vulnerability Exploits,Software security
109,GAC: Graph-Based Alert Correlation for the Detection of Distributed Attacks,Forensics
109,GAC: Graph-Based Alert Correlation for the Detection of Distributed Attacks,Intrusion detection
109,GAC: Graph-Based Alert Correlation for the Detection of Distributed Attacks,Network security
110,Attacks and Defenses in Mobile IP: Modeling with Stochastic Game Petri Net,Distributed systems security
110,Attacks and Defenses in Mobile IP: Modeling with Stochastic Game Petri Net,Intrusion detection
110,Attacks and Defenses in Mobile IP: Modeling with Stochastic Game Petri Net,Network security
110,Attacks and Defenses in Mobile IP: Modeling with Stochastic Game Petri Net,Protocols
112,QAPri: Answering Free-form Questions about Privacy Policies with Deep Learning,Machine learning
112,QAPri: Answering Free-form Questions about Privacy Policies with Deep Learning,Privacy policies
112,QAPri: Answering Free-form Questions about Privacy Policies with Deep Learning,User studies
114,Good or Bad: A Systematic Study of the Implication of Technical Reports for Malware Detection,Machine learning
114,Good or Bad: A Systematic Study of the Implication of Technical Reports for Malware Detection,Malware
115,Making NSEC5 Practical for DNSSEC,Applied cryptography
115,Making NSEC5 Practical for DNSSEC,Network security
115,Making NSEC5 Practical for DNSSEC,Protocols
116,Hybrid Aggregation and Verification of Certificates and Signatures in Vehicular Ad Hoc Network,Authentication and authorization
116,Hybrid Aggregation and Verification of Certificates and Signatures in Vehicular Ad Hoc Network,Mobile security and privacy
116,Hybrid Aggregation and Verification of Certificates and Signatures in Vehicular Ad Hoc Network,Network security
117,The Future of Ad Blocking: An Analytical Framework and New Techniques,Web security and privacy
121,Blockchain-based Public Key Infrastructure for Internet-of-Things,Authentication and authorization
121,Blockchain-based Public Key Infrastructure for Internet-of-Things,Cyber-physical systems (including IoT) security
121,Blockchain-based Public Key Infrastructure for Internet-of-Things,Distributed systems security
122,A Thunderbolt from the Blue: Exploiting IOMMU Bypass Vulnerabilities in Operating Systems,Hardware and architecture security
122,A Thunderbolt from the Blue: Exploiting IOMMU Bypass Vulnerabilities in Operating Systems,Software security
123,Tail Attacks on Web Applications,Distributed systems security
123,Tail Attacks on Web Applications,Web security and privacy
124,Return of the Coppersmith‰Ûªs Attack: Practical Factorization of Widely Used RSA Moduli,Applied cryptography
124,Return of the Coppersmith‰Ûªs Attack: Practical Factorization of Widely Used RSA Moduli,Cyber-physical systems (including IoT) security
124,Return of the Coppersmith‰Ûªs Attack: Practical Factorization of Widely Used RSA Moduli,Hardware and architecture security
124,Return of the Coppersmith‰Ûªs Attack: Practical Factorization of Widely Used RSA Moduli,Software security
125,There's a Hole in the Bottom of the C: On the Effectiveness of Allocation Protection Techniques,Software security
126,A Robust Covert Channel on FPGAs Based on Long Wire Delays,Cyber-physical systems (including IoT) security
126,A Robust Covert Channel on FPGAs Based on Long Wire Delays,Hardware and architecture security
127,Using Stochastic Control to Improve Industrial Fuzzing Yield,Cloud security
127,Using Stochastic Control to Improve Industrial Fuzzing Yield,Cyber-physical systems (including IoT) security
127,Using Stochastic Control to Improve Industrial Fuzzing Yield,Mobile security and privacy
127,Using Stochastic Control to Improve Industrial Fuzzing Yield,Network security
127,Using Stochastic Control to Improve Industrial Fuzzing Yield,Software security
128,DeWiCam: Detecting Hidden Wireless Cameras via Smartphones,Mobile security and privacy
128,DeWiCam: Detecting Hidden Wireless Cameras via Smartphones,Privacy-preserving systems
129,Blue Note: Scratching the Surface of Hard Disk Drive Security with Denial of Service by Intentional Acoustic Interference,Cyber-physical systems (including IoT) security
129,Blue Note: Scratching the Surface of Hard Disk Drive Security with Denial of Service by Intentional Acoustic Interference,Hardware and architecture security
129,Blue Note: Scratching the Surface of Hard Disk Drive Security with Denial of Service by Intentional Acoustic Interference,Software security
130,General Android deobfuscation with hybrid static-dynamic iterative analysis,Malware
130,General Android deobfuscation with hybrid static-dynamic iterative analysis,Mobile security and privacy
130,General Android deobfuscation with hybrid static-dynamic iterative analysis,Software security
131,Forward Secure Dynamic Searchable Symmetric Encryption with Efficient Updates,Applied cryptography
131,Forward Secure Dynamic Searchable Symmetric Encryption with Efficient Updates,Cloud security
132,Dynamic Group-Oriented Provable Data Possession,Cloud security
133,AppScalpel: Towards Pruning Undesirable Usage of Sensitive Data in Android Applications with Nonintervention Rules,Mobile security and privacy
133,AppScalpel: Towards Pruning Undesirable Usage of Sensitive Data in Android Applications with Nonintervention Rules,Privacy-preserving systems
134,Accountability in security protocols,Distributed systems security
134,Accountability in security protocols,Protocols
134,Accountability in security protocols,Secure and verifiable computation
135,Herding Vulnerable Cats: A Statistical Approach to Disentangle Joint Responsibility for Web Security in Shared Hosting,Metrics
135,Herding Vulnerable Cats: A Statistical Approach to Disentangle Joint Responsibility for Web Security in Shared Hosting,Web security and privacy
136,"Weird machines, exploitability, and provable unexploitability",Language-based security
136,"Weird machines, exploitability, and provable unexploitability",Software security
137,Thwarting Leakage Abuse Attacks against Searchable Encryption -- A Formal Approach and Applications to Database Padding,Applied cryptography
137,Thwarting Leakage Abuse Attacks against Searchable Encryption -- A Formal Approach and Applications to Database Padding,Cloud security
137,Thwarting Leakage Abuse Attacks against Searchable Encryption -- A Formal Approach and Applications to Database Padding,Privacy-preserving systems
137,Thwarting Leakage Abuse Attacks against Searchable Encryption -- A Formal Approach and Applications to Database Padding,Secure and verifiable computation
138,Adding Accountability and Revocability to Anonymous Credential Systems Using BlockChain: A Decentralized Approach,Anonymity
138,Adding Accountability and Revocability to Anonymous Credential Systems Using BlockChain: A Decentralized Approach,Authentication and authorization
138,Adding Accountability and Revocability to Anonymous Credential Systems Using BlockChain: A Decentralized Approach,Privacy-preserving systems
139,Oops!...I think I scanned a malware,Malware
139,Oops!...I think I scanned a malware,Network security
140,The Heisenberg Defense: Proactively Defending SGX Enclaves against Page-Table-Based Side-Channel Attacks,Secure and verifiable computation
140,The Heisenberg Defense: Proactively Defending SGX Enclaves against Page-Table-Based Side-Channel Attacks,Software security
141,Secure AES Computation Comparable to Local AES Computation,Applied cryptography
141,Secure AES Computation Comparable to Local AES Computation,Privacy-preserving systems
141,Secure AES Computation Comparable to Local AES Computation,Protocols
142,CUP: Comprehensive User-Space Protection for C/C++,Language-based security
142,CUP: Comprehensive User-Space Protection for C/C++,Software security
143,Adversarial Examples Are Not Easily Detected: Bypassing Ten Detection Methods,Machine learning
145,walk2friends: Inferring Social Links from Mobility Profiles,Machine learning
145,walk2friends: Inferring Social Links from Mobility Profiles,Mobile security and privacy
145,walk2friends: Inferring Social Links from Mobility Profiles,Privacy-preserving systems
146,Let‰Ûªs go in for a closer look: Observing passwords in their natural habitat,Access control
146,Let‰Ûªs go in for a closer look: Observing passwords in their natural habitat,Authentication and authorization
146,Let‰Ûªs go in for a closer look: Observing passwords in their natural habitat,User studies
146,Let‰Ûªs go in for a closer look: Observing passwords in their natural habitat,Web security and privacy
147,le-git-imate: Towards Verifiable Web-based Git Repositories,Authentication and authorization
147,le-git-imate: Towards Verifiable Web-based Git Repositories,Secure and verifiable computation
147,le-git-imate: Towards Verifiable Web-based Git Repositories,Web security and privacy
148,Verified Correctness and Security of mbedTLS HMAC-DRBG,Applied cryptography
148,Verified Correctness and Security of mbedTLS HMAC-DRBG,Secure and verifiable computation
148,Verified Correctness and Security of mbedTLS HMAC-DRBG,Software security
149,Vulnerable Implicit Service: A Revisit,Mobile security and privacy
150,REAPER: Real-time Permission Analysis for Detecting Third-party Privacy Leaks in Android,Mobile security and privacy
152,SoK: Website Fingerprinting Attacks,Anonymity
152,SoK: Website Fingerprinting Attacks,Privacy-preserving systems
153,Does Telephone Phishing Work?,User studies
154,Behavior Prediction over Summarized Network Activities,Machine learning
154,Behavior Prediction over Summarized Network Activities,Network security
155,Accessing Data while Preserving Privacy,Distributed systems security
155,Accessing Data while Preserving Privacy,Privacy-preserving systems
156,Evidence Theory Data Fusion Based Method For Cyber-Attack Detection,Intrusion detection
156,Evidence Theory Data Fusion Based Method For Cyber-Attack Detection,Network security
157,Secure Sequence Alignment Using One-Sided Encryption,Applied cryptography
157,Secure Sequence Alignment Using One-Sided Encryption,Privacy-preserving systems
157,Secure Sequence Alignment Using One-Sided Encryption,Secure and verifiable computation
158,InstaGuard: Instant Guard for Vulnerabilities in Non-updatable Programs on Android Devices,Mobile security and privacy
158,InstaGuard: Instant Guard for Vulnerabilities in Non-updatable Programs on Android Devices,Software security
159,"O Single Sign-Off, Where Art Thou? An Empirical Analysis of Single Sign-On Account Hijacking",Authentication and authorization
159,"O Single Sign-Off, Where Art Thou? An Empirical Analysis of Single Sign-On Account Hijacking",Web security and privacy
160,PartiSan: Fast and Flexible Sanitization via Run-time Partitioning,Software security
161,Public Order Preserving Cipher Generation Scheme for Distributed Computing,Applied cryptography
161,Public Order Preserving Cipher Generation Scheme for Distributed Computing,Privacy-preserving systems
161,Public Order Preserving Cipher Generation Scheme for Distributed Computing,Protocols
161,Public Order Preserving Cipher Generation Scheme for Distributed Computing,Secure and verifiable computation
162,Scalable and Provably Secure P2P Communication Protocols,Anonymity
162,Scalable and Provably Secure P2P Communication Protocols,Distributed systems security
162,Scalable and Provably Secure P2P Communication Protocols,Network security
162,Scalable and Provably Secure P2P Communication Protocols,Protocols
163,A Two-Phase Framework to Defend Against Machine Learning based Inference Attacks,Machine learning
163,A Two-Phase Framework to Defend Against Machine Learning based Inference Attacks,Privacy-preserving systems
163,A Two-Phase Framework to Defend Against Machine Learning based Inference Attacks,Web security and privacy
165,Security Risks in Asynchronous Web Servers: When Performance Optimizations Amplify the Impact of Data-oriented Attacks,Distributed systems security
165,Security Risks in Asynchronous Web Servers: When Performance Optimizations Amplify the Impact of Data-oriented Attacks,Software security
165,Security Risks in Asynchronous Web Servers: When Performance Optimizations Amplify the Impact of Data-oriented Attacks,Web security and privacy
167,Implementing BP-Obfuscation Using Graph-Induced Encoding,Applied cryptography
167,Implementing BP-Obfuscation Using Graph-Induced Encoding,Secure and verifiable computation
168,Tracing and Understanding Security Risks in Node.js Applications,Malware
168,Tracing and Understanding Security Risks in Node.js Applications,Software security
168,Tracing and Understanding Security Risks in Node.js Applications,Web security and privacy
169,A Novel Privacy Protection Approach Based on Android Application‰Ûªs Runtime Behavior Monitor and Control,Access control
169,A Novel Privacy Protection Approach Based on Android Application‰Ûªs Runtime Behavior Monitor and Control,Mobile security and privacy
169,A Novel Privacy Protection Approach Based on Android Application‰Ûªs Runtime Behavior Monitor and Control,Privacy-preserving systems
169,A Novel Privacy Protection Approach Based on Android Application‰Ûªs Runtime Behavior Monitor and Control,Privacy policies
169,A Novel Privacy Protection Approach Based on Android Application‰Ûªs Runtime Behavior Monitor and Control,Software security
170,Zeus: Analyzing Safety of Smart Contracts,Access control
170,Zeus: Analyzing Safety of Smart Contracts,Software security
171,A Stitch in Time: Supporting Android Developers in Writing Secure Code,Mobile security and privacy
